Date,Direction,Entry,Exit,Quantity,PnL,Capital,Drawdown%,Result
2026-01-19,SHORT,33.48,33.41,14934.29,1045.4,101045.4,0.0,EOD
2026-01-20,SHORT,32.99,33.06,15156.11,-1060.93,99984.47,1.05,EOD
2026-01-21,SHORT,32.58,32.71,15346.84,-2000.0,97984.47,3.03,SL
2026-01-22,LONG,33.01,32.88,15146.93,-2000.0,95984.47,5.01,SL
2026-01-23,SHORT,33.11,32.84,15101.18,4077.32,100061.79,0.97,TARGET
2026-01-28,LONG,32.84,33.05,15225.33,3197.32,103259.11,0.0,EOD
2026-01-29,LONG,32.8,33.06,15243.9,3963.41,107222.53,0.0,TARGET
2026-01-30,LONG,32.89,33.08,15202.19,2888.42,110110.94,0.0,EOD
2026-02-01,LONG,33.12,32.99,15096.62,-2000.0,108110.94,1.82,SL
2026-02-02,SHORT,32.23,32.36,15513.5,-2000.0,106110.94,3.63,SL
2026-02-03,SHORT,33.61,33.3,14876.52,4611.72,110722.66,0.0,TARGET
2026-02-04,LONG,33.49,33.61,14929.83,1791.58,112514.24,0.0,EOD
2026-02-06,SHORT,33.4,33.53,14970.06,-2000.0,110514.24,1.78,SL
2026-02-09,LONG,33.84,34.0,14775.41,2364.07,112878.31,0.0,EOD
2026-02-11,SHORT,34.08,34.1,14671.36,-293.43,112584.88,0.26,EOD
2026-02-12,SHORT,34.06,34.2,14679.98,-2000.0,110584.88,2.03,SL
2026-02-13,SHORT,33.57,33.7,14894.25,-2000.0,108584.88,3.8,SL
2026-02-16,SHORT,33.84,33.6,14775.41,3546.1,112130.98,0.66,TARGET
2026-02-17,LONG,33.86,33.98,14766.69,1772.0,113902.98,0.0,EOD
2026-02-18,LONG,33.78,34.03,14801.66,3700.41,117603.4,0.0,TARGET
2026-02-19,SHORT,33.93,33.67,14736.22,3831.42,121434.82,0.0,TARGET
2026-02-20,LONG,33.77,33.89,14806.04,1776.72,123211.54,0.0,EOD
2026-02-23,LONG,33.76,34.0,14810.43,3554.5,126766.04,0.0,TARGET
2026-02-24,SHORT,33.54,33.67,14907.57,-2000.0,124766.04,1.58,SL
2026-02-25,LONG,33.97,33.83,14718.87,-2000.0,122766.04,3.16,SL
2026-02-26,LONG,33.99,33.85,14710.21,-2000.0,120766.04,4.73,SL
2026-02-27,SHORT,33.56,33.69,14898.69,-2000.0,118766.04,6.31,SL
2026-03-02,SHORT,33.08,32.84,15114.87,3627.57,122393.61,3.45,TARGET
2026-03-04,SHORT,32.54,32.54,15365.7,0.0,122393.61,3.45,EOD
2026-03-05,SHORT,32.81,32.9,15239.26,-1371.53,121022.08,4.53,EOD
2026-03-06,SHORT,32.66,32.79,15309.25,-2000.0,119022.08,6.11,SL
2026-03-09,SHORT,31.92,32.05,15664.16,-2000.0,117022.08,7.69,SL
2026-03-10,SHORT,32.14,32.27,15556.94,-2000.0,115022.08,9.26,SL
2026-03-11,SHORT,32.18,31.95,15537.6,3573.65,118595.73,6.45,TARGET
2026-03-12,SHORT,31.51,31.64,15867.98,-2000.0,116595.73,8.02,SL
2026-03-13,SHORT,31.1,31.22,16077.17,-2000.0,114595.73,9.6,SL
2026-03-16,LONG,30.92,30.8,16170.76,-2000.0,112595.73,11.18,SL
2026-03-17,LONG,31.24,31.12,16005.12,-2000.0,110595.73,12.76,SL
2026-03-18,SHORT,31.45,31.58,15898.25,-2000.0,108595.73,14.33,SL
2026-03-19,SHORT,30.82,30.57,16223.23,4055.81,112651.54,11.13,TARGET
2026-03-20,LONG,30.93,31.22,16165.54,4688.01,117339.54,7.44,TARGET
2026-03-23,SHORT,29.99,30.11,16672.22,-2000.0,115339.54,9.01,SL
2026-03-24,LONG,30.18,30.43,16567.26,4141.82,119481.36,5.75,TARGET
2026-03-25,LONG,31.1,30.98,16077.17,-2000.0,117481.36,7.32,SL
2026-03-27,LONG,30.65,30.53,16313.21,-2000.0,115481.36,8.9,SL
2026-03-30,LONG,30.24,30.12,16534.39,-2000.0,113481.36,10.48,SL
2026-04-01,LONG,30.52,30.4,16382.7,-2000.0,111481.36,12.06,SL
2026-04-02,LONG,30.0,30.21,16666.67,3500.0,114981.36,9.3,TARGET
2026-04-06,LONG,30.58,30.85,16350.56,4414.65,119396.01,5.81,TARGET
2026-04-07,SHORT,30.86,30.98,16202.2,-2000.0,117396.01,7.39,SL
2026-04-09,SHORT,31.77,31.9,15738.12,-2000.0,115396.01,8.97,SL
2026-04-13,SHORT,31.89,32.0,15678.9,-1724.68,113671.33,10.33,EOD
2026-04-15,SHORT,32.57,32.7,15351.55,-2000.0,111671.33,11.91,SL
2026-04-16,SHORT,32.52,32.48,15375.15,615.01,112286.34,11.42,EOD
2026-04-17,SHORT,32.71,32.5,15285.85,3210.03,115496.36,8.89,EOD
2026-04-20,SHORT,32.96,32.74,15169.9,3337.38,118833.74,6.26,EOD
2026-04-21,SHORT,33.1,33.2,15105.74,-1510.57,117323.17,7.45,EOD
2026-04-23,SHORT,32.98,33.11,15160.7,-2000.0,115323.17,9.03,SL
2026-04-24,SHORT,32.48,32.61,15394.09,-2000.0,113323.17,10.6,SL
2026-04-27,SHORT,32.86,32.99,15216.07,-2000.0,111323.17,12.18,SL
2026-04-28,SHORT,32.93,32.69,15183.72,3644.09,114967.26,9.31,TARGET
2026-04-29,SHORT,32.99,32.71,15156.11,4243.71,119210.97,5.96,TARGET
2026-04-30,SHORT,32.67,32.8,15304.56,-2000.0,117210.97,7.54,SL
2026-05-04,SHORT,33.05,32.76,15128.59,4387.29,121598.26,4.08,TARGET
2026-05-05,SHORT,32.57,32.7,15351.55,-2000.0,119598.26,5.65,SL
2026-05-06,LONG,32.89,33.2,15202.19,4712.68,124310.94,1.94,TARGET
2026-05-08,LONG,33.06,32.93,15124.02,-2000.0,122310.94,3.51,SL
2026-05-11,LONG,32.8,33.03,15243.9,3506.1,125817.04,0.75,TARGET
2026-05-12,LONG,32.49,32.36,15389.35,-2000.0,123817.04,2.33,SL
2026-05-13,LONG,32.44,32.31,15413.07,-2000.0,121817.04,3.9,SL
2026-05-14,LONG,32.57,32.85,15351.55,4298.43,126115.47,0.51,TARGET
2026-05-15,SHORT,32.69,32.52,15295.2,2600.18,128715.66,0.0,EOD
2026-05-20,LONG,32.6,32.85,15337.42,3834.36,132550.01,0.0,TARGET
2026-05-21,LONG,32.65,32.62,15313.94,-459.42,132090.59,0.35,EOD
2026-05-22,SHORT,32.91,32.87,15192.95,607.72,132698.31,0.0,EOD
2026-05-25,SHORT,33.24,33.24,15042.12,0.0,132698.31,0.0,EOD
2026-05-26,SHORT,33.34,33.07,14997.0,4049.19,136747.5,0.0,TARGET
2026-05-27,SHORT,33.39,33.15,14974.54,3593.89,140341.39,0.0,TARGET
2026-05-29,LONG,33.16,33.03,15078.41,-2000.0,138341.39,1.43,SL
2026-06-01,LONG,32.71,32.94,15285.85,3515.74,141857.14,0.0,TARGET
2026-06-02,SHORT,32.61,32.74,15332.72,-2000.0,139857.14,1.41,SL
2026-06-03,LONG,32.62,32.6,15328.02,-306.56,139550.58,1.63,EOD
2026-06-04,SHORT,32.66,32.41,15309.25,3827.31,143377.89,0.0,TARGET
2026-06-05,LONG,32.54,32.57,15365.7,460.97,143838.86,0.0,EOD
2026-06-08,LONG,32.19,32.35,15532.77,2485.24,146324.1,0.0,EOD
2026-06-09,LONG,32.39,32.26,15436.86,-2000.0,144324.1,1.37,SL
2026-06-10,SHORT,32.47,32.16,15398.83,4773.64,149097.74,0.0,TARGET
2026-06-11,SHORT,32.14,31.91,15556.94,3578.1,152675.84,0.0,TARGET
2026-06-12,LONG,32.12,32.41,15566.63,4514.32,157190.16,0.0,TARGET
2026-06-15,LONG,32.7,32.72,15290.52,305.81,157495.97,0.0,EOD
2026-06-17,SHORT,33.1,32.86,15105.74,3625.38,161121.35,0.0,TARGET
2026-06-18,SHORT,33.23,32.96,15046.64,4062.59,165183.94,0.0,TARGET
2026-06-19,LONG,32.9,33.4,15197.57,7598.78,172782.72,0.0,TARGET
2026-06-22,SHORT,33.3,33.25,15015.02,750.75,173533.48,0.0,EOD
2026-06-23,LONG,33.08,32.95,15114.87,-2000.0,171533.48,1.15,SL
2026-06-24,LONG,33.14,33.01,15087.51,-2000.0,169533.48,2.31,SL
2026-06-25,LONG,33.26,33.13,15033.07,-2000.0,167533.48,3.46,SL
2026-06-29,LONG,33.08,32.95,15114.87,-2000.0,165533.48,4.61,SL
2026-07-02,SHORT,33.21,32.85,15055.71,5420.05,170953.53,1.49,TARGET
2026-07-06,SHORT,33.35,33.48,14992.5,-2000.0,168953.53,2.64,SL
2026-07-07,SHORT,33.66,33.5,14854.43,2376.71,171330.24,1.27,EOD
2026-07-08,SHORT,33.43,33.0,14956.63,6431.35,177761.59,0.0,TARGET
2026-07-09,LONG,33.01,33.12,15146.93,1666.16,179427.75,0.0,EOD
2026-07-10,SHORT,33.37,33.1,14983.52,4045.55,183473.3,0.0,TARGET
2026-07-13,LONG,33.3,33.4,15015.02,1501.5,184974.8,0.0,EOD
2026-07-14,SHORT,33.21,33.34,15055.71,-2000.0,182974.8,1.08,SL
2026-07-15,LONG,33.15,33.02,15082.96,-2000.0,180974.8,2.16,SL
