Date,Capital,DailyPnL,Symbol
,14000.0,0.0,
2025-07-14,13906.700000000003,-93.29999999999814,SUNPHARMA
2025-07-15,13800.200000000008,-106.49999999999523,BHARTIARTL
2025-07-16,13633.537400000008,-166.6626,WIPRO
2025-07-17,13633.537400000008,0.0,
2025-07-18,13475.193400000006,-158.34400000000363,BAJFINANCE
2025-07-21,13425.993400000003,-49.20000000000209,ICICIBANK
2025-07-22,13458.771640000004,32.7782400000015,HDFCBANK
2025-07-23,13385.715140000004,-73.0565,MARUTI
2025-07-24,13258.080140000004,-127.63499999999999,MARUTI
2025-07-25,13174.981740000003,-83.0984,ICICIBANK
2025-07-28,13544.238060000003,369.25632,BHARTIARTL
2025-07-29,13413.751410000003,-130.4866500000016,SUNPHARMA
2025-07-30,13316.203410000002,-97.548,MARUTI
2025-07-31,13316.203410000002,0.0,
2025-08-01,13179.080380000001,-137.123030000001,HINDUNILVR
2025-08-04,13056.6869,-122.39348,RELIANCE
2025-08-05,12911.823144999997,-144.86375500000332,BAJFINANCE
2025-08-06,12800.340464999997,-111.48268,BAJFINANCE
2025-08-07,12811.837334999998,11.496870000000001,BHARTIARTL
2025-08-08,12777.094734999997,-34.742600000000905,TITAN
2025-08-11,12658.580334999997,-118.5144,MARUTI
2025-08-12,12527.053614999993,-131.52672000000354,SUNPHARMA
2025-08-13,12429.073864999993,-97.97975,M&M
2025-08-14,12401.863715,-27.210149999993995,BHARTIARTL
2025-08-18,12314.908594999997,-86.95512000000191,ICICIBANK
2025-08-19,12224.833394999998,-90.0752,MARUTI
2025-08-20,12466.452304999995,241.61890999999792,HINDUNILVR
2025-08-21,12485.101105,18.648800000003646,TCS
2025-08-22,12400.841315000003,-84.25978999999609,ICICIBANK
2025-08-25,12282.51319500001,-118.32811999999208,M&M
2025-08-26,12140.885310000012,-141.62788499999735,M&M
2025-08-28,12056.011930000013,-84.87337999999826,TCS
2025-08-29,11908.408910000007,-147.6030200000052,ADANIPORTS
2025-09-01,11754.343130000003,-154.0657800000045,BAJFINANCE
2025-09-02,11646.589860000002,-107.75327000000195,ADANIPORTS
2025-09-03,11646.589860000002,0.0,
2025-09-04,11545.99206,-100.59780000000136,HDFCBANK
2025-09-05,11462.4849,-83.50716000000186,ICICIBANK
2025-09-08,11846.1582,383.6733,MARUTI
2025-09-09,11703.16901,-142.98919,ADANIPORTS
2025-09-10,11713.977839999996,10.808829999996277,ADANIPORTS
2025-09-11,11676.020939999999,-37.95689999999727,BAJFINANCE
2025-09-12,11799.977339999998,123.9564,AXISBANK
2025-09-15,11715.786299999996,-84.19104000000186,ICICIBANK
2025-09-16,11664.852819999993,-50.933480000003726,RELIANCE
2025-09-17,11591.597319999993,-73.2555,MARUTI
2025-09-18,11560.744469999998,-30.85284999999522,SUNPHARMA
2025-09-19,11482.194524999997,-78.549945,HDFCBANK
2025-09-22,11360.520464999996,-121.67406000000163,TCS
2025-09-23,11606.112589999995,245.592125,BAJFINANCE
2025-09-24,11705.191889999995,99.0793,INFY
2025-09-25,11623.310609999993,-81.88128000000177,INFY
2025-09-26,11557.788809999993,-65.5218,MARUTI
2025-09-29,11582.684609999993,24.8958,MARUTI
2025-09-30,11510.251599999994,-72.43300999999867,BAJFINANCE
2025-10-01,11380.321449999989,-129.93015000000526,BAJFINANCE
2025-10-03,11293.737609999993,-86.58383999999563,AXISBANK
2025-10-06,11159.932789999992,-133.80482000000097,KOTAKBANK
2025-10-07,11159.932789999992,0.0,
2025-10-08,11271.167589999992,111.2348,ULTRACEMCO
2025-10-09,11276.31688999999,5.149299999997638,INFY
2025-10-10,11350.22188999999,73.905,ULTRACEMCO
2025-10-13,11254.74868999999,-95.47319999999999,MARUTI
2025-10-14,11191.301844999987,-63.446845000002625,M&M
2025-10-15,11070.045764999988,-121.25608,HINDUNILVR
2025-10-16,11081.931144999986,11.885379999997639,BAJFINANCE
2025-10-17,11080.641984999986,-1.2891600000010897,TITAN
2025-10-20,11000.932224999984,-79.70976000000178,ICICIBANK
2025-10-21,11000.932224999984,0.0,
2025-10-23,11000.932224999984,0.0,
2025-10-24,11144.667004999985,143.73478,TITAN
2025-10-27,11045.208784999986,-99.45821999999832,RELIANCE
2025-10-28,10923.424024999982,-121.78476000000336,RELIANCE
2025-10-29,11480.111144999986,556.687120000004,M&M
2025-10-30,11381.806304999984,-98.30484000000246,BHARTIARTL
2025-10-31,11284.83310499998,-96.97320000000408,TITAN
2025-11-03,11410.557404999978,125.72429999999864,TITAN
2025-11-04,11291.667464999973,-118.88994000000473,BHARTIARTL
2025-11-06,11300.55326499997,8.885799999996365,BHARTIARTL
2025-11-07,11284.596804999972,-15.956459999998359,TCS
2025-11-10,11843.141404999971,558.5446,INFY
2025-11-11,11732.769264999968,-110.37214000000259,BAJFINANCE
2025-11-12,11674.95022499997,-57.81903999999868,HDFCBANK
2025-11-13,11640.96262499997,-33.9876,BHARTIARTL
2025-11-14,11681.82412499997,40.8615,MARUTI
2025-11-17,11570.877024999965,-110.94710000000501,BAJFINANCE
2025-11-18,11487.501604999967,-83.37541999999827,INFY
2025-11-19,11245.663174999969,-241.83842999999803,M&M
2025-11-20,11159.956904999972,-85.70626999999763,TCS
2025-11-21,11088.893254999966,-71.06365000000477,RELIANCE
2025-11-24,11001.753454999965,-87.1398,RELIANCE
2025-11-25,10905.599979999966,-96.15347499999875,HDFCBANK
2025-11-26,10805.755579999966,-99.84440000000001,RELIANCE
2025-11-27,11062.43272499997,256.6771450000024,HDFCBANK
2025-11-28,10940.070944999967,-122.36178000000339,M&M
2025-12-01,10839.454274999973,-100.61666999999427,HINDUNILVR
2025-12-02,10714.287074999973,-125.1672,MARUTI
2025-12-03,10645.187654999972,-69.09942000000001,TITAN
2025-12-04,10527.785384999976,-117.40226999999626,AXISBANK
2025-12-05,10468.04746499998,-59.73791999999563,INFY
2025-12-08,10370.335034999982,-97.71242999999768,BAJFINANCE
2025-12-09,10245.185834999978,-125.14920000000436,RELIANCE
2025-12-10,10152.62239899998,-92.56343599999784,KOTAKBANK
2025-12-11,10022.247006999982,-130.37539199999745,KOTAKBANK
2025-12-12,9882.335006999981,-139.912,ULTRACEMCO
2025-12-15,9806.12060699998,-76.2144,ULTRACEMCO
2025-12-16,9701.548166999983,-104.5724399999981,HINDUNILVR
2025-12-17,9750.898026999983,49.349860000001115,HDFCBANK
2025-12-18,9646.841106999984,-104.05691999999877,SUNPHARMA
2025-12-19,9553.284566999986,-93.55653999999745,TCS
2025-12-22,9525.858566999987,-27.426,HINDUNILVR
2025-12-23,9461.53276699998,-64.32580000000509,INFY
2025-12-24,9424.739758999982,-36.79300799999828,KOTAKBANK
2025-12-26,9369.120558999983,-55.6192,TCS
2025-12-29,9299.462378999977,-69.65818000000519,AXISBANK
2025-12-30,9216.428828999977,-83.03354999999999,AXISBANK
2025-12-31,9177.271808999978,-39.157019999998084,BHARTIARTL
2026-01-01,9070.590128999977,-106.68168000000163,AXISBANK
2026-01-02,8989.752128999971,-80.83800000000545,ADANIPORTS
2026-01-05,9239.11512899997,249.363,MARUTI
2026-01-06,9135.270008999974,-103.84511999999563,ICICIBANK
2026-01-07,9142.177818999975,6.907810000000001,TCS
2026-01-08,9084.496118999976,-57.6817,ICICIBANK
2026-01-09,8997.403238999976,-87.09288000000001,HDFCBANK
2026-01-12,8893.085438999971,-104.3178000000041,RELIANCE
2026-01-13,8818.952158999971,-74.13328,M&M
2026-01-14,8915.857608999975,96.90545000000304,KOTAKBANK
2026-01-16,8868.364308999973,-47.49330000000136,RELIANCE
2026-01-19,8811.243508999973,-57.1208,WIPRO
2026-01-20,8714.088318999971,-97.1551900000005,BAJFINANCE
2026-01-21,8615.116478999971,-98.97184000000073,INFY
2026-01-22,8556.23667899997,-58.879799999999996,BHARTIARTL
2026-01-23,8744.07970899997,187.84303,HINDUNILVR
2026-01-27,8649.29530899997,-94.7844,ULTRACEMCO
2026-01-28,8499.161658999974,-150.1336499999958,ADANIPORTS
2026-01-29,8721.532068999975,222.37041000000102,WIPRO
2026-01-30,8713.413298999976,-8.118769999999998,ADANIPORTS
2026-02-01,8654.572298999976,-58.841,MARUTI
2026-02-02,8654.572298999976,0.0,
2026-02-03,8577.088318999975,-77.48398000000063,ICICIBANK
2026-02-04,8482.267018999974,-94.82130000000136,ADANIPORTS
2026-02-05,8384.935188999974,-97.33182999999934,M&M
2026-02-06,8560.516048999976,175.58086000000256,TCS
2026-02-09,8471.577298999979,-88.93874999999727,BHARTIARTL
2026-02-10,8365.60913899998,-105.96815999999836,TITAN
2026-02-11,8287.17113899998,-78.438,MARUTI
2026-02-12,8272.40363899998,-14.767499999999998,BAJFINANCE
2026-02-13,8178.005238999978,-94.39840000000186,BAJFINANCE
2026-02-16,8118.977568999979,-59.02766999999911,BAJFINANCE
2026-02-17,8031.733008999978,-87.24456000000109,ADANIPORTS
2026-02-18,7981.802448999978,-49.93056,TITAN
2026-02-19,7946.712048999978,-35.090399999999995,ULTRACEMCO
2026-02-20,7844.722818999977,-101.98923000000131,INFY
2026-02-23,7797.798708999974,-46.92411000000246,AXISBANK
2026-02-24,7710.188178999978,-87.61052999999634,M&M
2026-02-25,7795.605378999978,85.41720000000001,ADANIPORTS
2026-02-26,7714.2841389999785,-81.32123999999905,SUNPHARMA
2026-02-27,7765.59993899998,51.31580000000091,BHARTIARTL
2026-03-02,7858.769078999976,93.16913999999673,TITAN
2026-03-04,7814.948628999981,-43.82044999999472,ICICIBANK
2026-03-05,7746.304248999981,-68.64438000000095,SUNPHARMA
2026-03-06,7653.144128999979,-93.16012000000104,RELIANCE
2026-03-09,7682.278178999978,29.1340499999985,M&M
2026-03-10,7598.477048999976,-83.8011300000019,SUNPHARMA
2026-03-11,7663.339028999976,64.86198,AXISBANK
2026-03-12,7640.051332999975,-23.28769600000145,WIPRO
2026-03-13,7583.067682999975,-56.98365,HDFCBANK
2026-03-16,7761.088602999978,178.02092000000383,INFY
2026-03-17,7732.933082999977,-28.155520000001317,ICICIBANK
2026-03-18,7772.63888299998,39.70580000000273,BHARTIARTL
2026-03-19,7691.789602999981,-80.84927999999854,AXISBANK
2026-03-20,7588.9120229999835,-102.87757999999764,RELIANCE
2026-03-23,7497.850772999984,-91.06125,RELIANCE
2026-03-24,7644.424312999982,146.57353999999867,ICICIBANK
2026-03-25,7576.519912999982,-67.9044,ULTRACEMCO
2026-03-27,7488.094432999982,-88.42548,BAJFINANCE
2026-03-30,7434.207382999982,-53.88705,SUNPHARMA
2026-04-01,7390.405282999976,-43.80210000000491,RELIANCE
2026-04-02,7312.369582999975,-78.03570000000136,ADANIPORTS
2026-04-06,7322.666982999975,10.297399999999092,INFY
2026-04-07,7242.424982999974,-80.242,BAJFINANCE
2026-04-08,7171.872682999974,-70.5523,TCS
2026-04-09,7171.872682999974,0.0,
2026-04-10,7439.005412999975,267.1327300000008,SUNPHARMA
2026-04-13,7590.486532999977,151.48112000000128,RELIANCE
2026-04-15,7527.9400329999735,-62.546500000003405,ADANIPORTS
2026-04-16,7392.909612999974,-135.03041999999874,TCS
2026-04-17,7344.459912999974,-48.4497,ULTRACEMCO
2026-04-20,7294.499612999976,-49.96029999999763,RELIANCE
2026-04-21,7216.069942999977,-78.42966999999999,BAJFINANCE
2026-04-22,7235.664902999974,19.594959999998,HINDUNILVR
2026-04-23,7148.413502999975,-87.25139999999932,SUNPHARMA
2026-04-24,7375.034852999976,226.62135,HINDUNILVR
2026-04-27,7350.974322999972,-24.06053000000314,HDFCBANK
2026-04-28,7296.550722999978,-54.423599999994906,TCS
2026-04-29,7210.950262999975,-85.600460000002,ADANIPORTS
2026-04-30,7159.315462999975,-51.6348,MARUTI
2026-05-04,7095.186187999976,-64.12927499999893,KOTAKBANK
2026-05-05,7312.932637999974,217.74644999999796,HDFCBANK
2026-05-06,7225.525672999975,-87.40696499999939,BAJFINANCE
2026-05-07,7148.822312999975,-76.70335999999963,M&M
2026-05-08,7228.914437999975,80.09212500000001,HDFCBANK
2026-05-11,7175.243427999974,-53.67101000000086,SUNPHARMA
2026-05-12,7111.061877999973,-64.18155000000137,TCS
2026-05-13,7067.422787999974,-43.6390899999985,BHARTIARTL
2026-05-14,7050.650367999976,-16.772419999998725,BHARTIARTL
2026-05-15,7033.379347999975,-17.27102000000059,SUNPHARMA
2026-05-18,6947.425507999972,-85.95384000000254,HINDUNILVR
2026-05-19,6860.552447999972,-86.87306,BAJFINANCE
2026-05-20,6937.525247999975,76.97280000000346,M&M
2026-05-21,6853.1527679999745,-84.37248000000073,ADANIPORTS
2026-05-22,7334.724812999975,481.5720450000009,WIPRO
2026-05-25,7254.419972999978,-80.30483999999745,ICICIBANK
2026-05-26,7226.360897999979,-28.059074999998977,HDFCBANK
2026-05-27,7291.035947999979,64.67505,ADANIPORTS
2026-05-29,7245.378347999978,-45.65760000000091,ADANIPORTS
2026-06-01,7155.792497999981,-89.58584999999727,HINDUNILVR
2026-06-02,7457.289777999979,301.49727999999857,INFY
2026-06-03,7656.93812799998,199.64835,TCS
2026-06-04,7623.97037799998,-32.96775,TITAN
2026-06-05,7530.864133999982,-93.10624399999735,WIPRO
2026-06-08,7437.497158999979,-93.3669750000039,BAJFINANCE
2026-06-09,7365.708158999979,-71.789,BHARTIARTL
2026-06-10,7414.523918999981,48.81576000000255,HINDUNILVR
2026-06-11,7620.143618999977,205.61969999999528,ICICIBANK
2026-06-12,7614.20691899998,-5.936699999996179,BHARTIARTL
2026-06-15,7523.423918999983,-90.78299999999808,M&M
2026-06-16,7596.319838999981,72.89591999999854,TITAN
2026-06-17,7606.0242889999745,9.70444999999382,HINDUNILVR
2026-06-18,7626.483958999973,20.459669999998503,INFY
2026-06-19,7575.147958999977,-51.335999999995636,HDFCBANK
2026-06-22,7488.4397089999775,-86.70824999999999,TCS
2026-06-23,7458.870748999976,-29.56896000000164,INFY
2026-06-24,7414.798418999973,-44.07233000000309,HINDUNILVR
2026-06-25,7361.959658999972,-52.83876000000118,ICICIBANK
2026-06-29,7448.776618999974,86.81696000000154,HINDUNILVR
2026-06-30,7359.237738999978,-89.53887999999563,TITAN
2026-07-01,7372.371338999978,13.133600000000364,ADANIPORTS
2026-07-02,7333.667738999979,-38.7036,ULTRACEMCO
2026-07-03,7250.536178999979,-83.13156000000001,BAJFINANCE
